,Neighbourhood ID,Neighbourhood Name,"Rate per 100,000 people",Case Count
0,83.0,Dufferin Grove,4717.861689,556
1,4.0,Rexdale-Kipling,8101.434134,853
2,116.0,Steeles,4942.533404,1217
3,81.0,Trinity-Bellwoods,3467.02102,574
4,71.0,Cabbagetown-South St. James Town,4627.645899,540
5,58.0,Old East York,4180.656341,386
6,108.0,Briar Hill-Belgravia,8136.354072,1160
7,94.0,Wychwood,4118.75392,591
8,49.0,Bayview Woods-Steeles,4888.246921,643
9,21.0,Humber Summit,11307.98969,1404
10,86.0,Roncesvalles,3005.209029,450
11,70.0,South Riverdale,3138.900847,875
12,32.0,Englemount-Lawrence,9704.094404000001,2171
13,6.0,Kingsview Village-The Westway,9204.545455,2025
14,16.0,Stonegate-Queensway,3568.719812,894
15,73.0,Moss Park,5691.017263000001,1167
16,90.0,Junction Area,4719.476542,678
17,55.0,Thorncliffe Park,9560.356263,2018
18,137.0,Woburn,8578.106011,4588
19,31.0,Yorkdale-Glen Park,10794.3799,1598
20,3.0,Thistletown-Beaumond Heights,11833.97683,1226
21,56.0,Leaside-Bennington,2513.667697,423
22,7.0,Willowridge-Martingrove-Richview,6187.940061,1371
23,51.0,Willowdale East,2666.8517269999998,1345
24,129.0,Agincourt North,4798.543606,1397
25,103.0,Lawrence Park South,2062.059424,313
26,10.0,Princess-Rosethorn,3474.798661,384
27,63.0,The Beaches,1697.03714,366
28,135.0,Morningside,8387.281581000001,1464
29,38.0,Lansing-Westgate,3353.130413,542
30,68.0,North Riverdale,2030.8828469999999,242
31,82.0,Niagara,3245.670301,1012
32,79.0,University,4443.27593,338
33,127.0,Bendale,7630.173565000001,2286
34,24.0,Black Creek,13083.6822,2844
35,91.0,Weston-Pelham Park,8271.760678,918
36,69.0,Blake-Jones,3313.0581079999997,256
37,125.0,Ionview,4904.3325270000005,669
38,89.0,Runnymede-Bloor West Village,1996.0278050000002,201
39,14.0,Islington-City Centre West,5611.281701,2467
40,120.0,Clairlea-Birchmount,7819.4485620000005,2110
41,44.0,Flemingdon Park,8986.458761,1971
42,53.0,Henry Farm,7810.214336,1228
43,96.0,Casa Loma,3273.1582789999998,359
44,133.0,Centennial Scarborough,5044.155067000001,674
45,85.0,South Parkdale,6554.075701,1432
46,29.0,Maple Leaf,13559.48966,1371
47,61.0,Taylor-Massey,6656.889626,1044
48,60.0,Woodbine-Lumsden,3649.0781950000005,287
49,67.0,Playter Estates-Danforth,3459.7642229999997,270
50,102.0,Forest Hill North,4841.480556,620
51,35.0,Westminster-Branson,9945.192966,2613
52,2.0,Mount Olive-Silverstone-Jamestown,12159.37367,4007
53,126.0,Dorset Park,8858.936928000001,2215
54,138.0,Eglinton East,8170.88163,1861
55,118.0,Tam O'Shanter-Sullivan,5556.365226,1525
56,104.0,Mount Pleasant West,4349.585272,1290
57,107.0,Oakwood Village,5926.449788,1257
58,76.0,Bay Street Corridor,2608.830484,673
59,9.0,Edenbridge-Humber Valley,4995.172192,776
60,114.0,Lambton Baby Point,3318.722605,265
61,98.0,Rosedale-Moore Park,2179.419777,456
62,62.0,East End-Danforth,3694.869276,790
63,124.0,Kennedy Park,7580.447351999999,1298
64,106.0,Humewood-Cedarvale,3849.634528,553
65,112.0,Beechborough-Greenbrook,10339.06036,680
66,117.0,L'Amoreaux,5753.188007,2531
67,1.0,West Humber-Clairville,12157.78098,4050
68,30.0,Brookhaven-Amesbury,9506.110266,1688
69,140.0,Guildwood,5203.1864479999995,516
70,87.0,High Park-Swansea,2946.7084640000003,705
71,123.0,Cliffcrest,5691.873235,907
72,134.0,Highland Creek,8364.014727,1045
73,139.0,Scarborough Village,11008.132029999999,1841
74,34.0,Bathurst Manor,9708.309708,1541
75,92.0,Corso Italia-Davenport,5978.914597,845
76,75.0,Church-Yonge Corridor,3860.8806640000003,1210
78,52.0,Bayview Village,2547.205085,545
79,97.0,Yonge-St.Clair,2378.671775,298
80,50.0,Newtonbrook East,2752.065602,443
81,20.0,Alderwood,4139.704662,499
82,27.0,York University Heights,11861.70406,3273
83,8.0,Humber Heights-Westmount,7325.538911,802
84,64.0,Woodbine Corridor,2663.2644920000002,334
85,5.0,Elms-Old Rexdale,10141.70897,959
86,80.0,Palmerston-Little Italy,2770.143208,383
87,54.0,O'Connor-Parkview,4749.665328,887
88,26.0,Downsview-Roding-CFB,12917.95047,4528
89,121.0,Oakridge,8067.894547,1117
90,119.0,Wexford/Maryvale,6938.424615999999,1937
91,43.0,Victoria Village,7430.039976999999,1301
92,88.0,High Park North,2887.826008,640
93,59.0,Danforth East York,3655.413271,628
94,95.0,Annex,3115.377056,951
95,57.0,Broadview North,4148.186799,477
96,65.0,Greenwood-Coxwell,3218.4226949999997,464
97,33.0,Clanton Park,5318.115589999999,876
98,12.0,Markland Wood,3837.407618,405
99,25.0,Glenfield-Jane Heights,12029.779279999999,3668
100,99.0,Mount Pleasant East,2050.670641,344
101,131.0,Rouge,8045.853407,3741
102,72.0,Regent Park,5424.419143,586
103,122.0,Birchcliffe-Cliffside,4705.935131,1049
104,28.0,Rustic,7604.868725,756
105,74.0,North St. James Town,6919.1512219999995,1288
106,13.0,Etobicoke West Mall,7511.81634,890
107,23.0,Pelmo Park-Humberlea,10902.816640000001,1169
108,66.0,Danforth,3310.573143,320
109,40.0,St.Andrew-Windfields,2818.324725,502
110,11.0,Eringate-Centennial-West Deane,4298.472133,799
111,115.0,Mount Dennis,9777.09115,1329
112,19.0,Long Branch,4135.263784000001,417
113,39.0,Bedford Park-Nortown,4815.803064,1119
114,47.0,Don Valley Village,4399.098,1190
115,128.0,Agincourt South-Malvern West,5206.886391,1237
116,132.0,Malvern,8829.976709,3867
117,113.0,Weston,12083.148070000001,2174
118,37.0,Willowdale West,3123.523855,529
119,84.0,Little Portugal,4492.576644,699
120,100.0,Yonge-Eglinton,2496.403487,295
121,109.0,Caledonia-Fairbank,8669.010547,863
122,46.0,Pleasant View,5588.569984000001,884
123,36.0,Newtonbrook West,8707.146154,2075
124,105.0,Lawrence Park North,2026.425686,296
125,41.0,Bridle Path-Sunnybrook-York Mills,2503.77725,232
126,77.0,Waterfront Communities-The Island,3419.6592479999995,2254
127,111.0,Rockcliffe-Smythe,8954.418771999999,1992
128,15.0,Kingsway South,2610.290152,242
129,136.0,West Hill,6892.523364,1888
130,130.0,Milliken,4316.573837,1147
131,93.0,Dovercourt-Wallace Emerson-Junction,4551.535836,1667
132,18.0,New Toronto,5129.547239,588
133,110.0,Keelesdale-Eglinton West,8690.540785,961
134,78.0,Kensington-Chinatown,4658.679298,836
135,101.0,Forest Hill South,2245.620574,241
136,45.0,Parkwoods-Donalda,5369.9181149999995,1869
137,42.0,Banbury-Don Mills,3260.5163390000002,903
138,17.0,Mimico (includes Humber Bay Shores),5461.665293,1855
139,48.0,Hillcrest Village,3490.020078,591
140,22.0,Humbermede,13869.411390000001,2156
